OBJECTID,Name,ID,ZONENAME,EDIRANK,AREAHA,TREECOUNT,TREESPERHA,JUVCOUNT,JUVPERHA,MEANDBH,SPECIES,SPECIESPERTREE,PERCHIGH,HIGHHA,PERCMED,MEDHA,NFIHA,NFIPERC,POP,POPPERHA,NFIChange,Shape_Length,Shape_Area
1,Baberton and Juniper Green,2.000000000000000,Baberton and Juniper Green,9,90.620000000000005,174,1.920000000000000,56,0.620000000000000,27,30,0.170000000000000,7.219773072000000,6.542558358000000,18.298764179999999,16.582340100000000,13.840000000000000,15.270000000000000,"3,244",35.799999999999997,-0.134596000000000,"5,778.199559598121600","906,214.806435231590000"
2,Bonaly and The Pentlands,8.000000000000000,Bonaly and The Pentlands,9,142.750000000000000,460,3.220000000000000,33,0.230000000000000,44,42,0.090000000000000,8.677496329000000,12.387126009999999,23.013032310000000,32.851103620000004,16.039999999999999,11.230000000000000,"3,852",26.980000000000000,-0.087447000000000,"7,139.616392184718300","1,427,511.015826534200000"
3,Colinton and Kingsknowe,20.000000000000000,Colinton and Kingsknowe,10,302.180000000000010,"1,170",3.870000000000000,59,0.200000000000000,47,62,0.050000000000000,12.645994500000000,38.213666170000003,19.504214609999998,58.937835710000002,52.000000000000000,17.210000000000001,"4,112",13.609999999999999,0.329671000000000,"13,461.758273277861000","3,021,800.410842273800000"
4,Clovenstone and Wester Hailes,19.000000000000000,Clovenstone and Wester Hailes,5,38.710000000000001,90,2.320000000000000,23,0.590000000000000,18,26,0.290000000000000,2.669820885000000,1.033487665000000,19.584319030000000,7.581089895000000,0.900000000000000,2.330000000000000,"3,223",83.250000000000000,-0.100063000000000,"3,026.518146396991600","387,129.003499822460000"
5,The Calders,95.000000000000000,The Calders,4,72.829999999999998,266,3.650000000000000,72,0.990000000000000,23,36,0.140000000000000,2.130528587000000,1.551663970000000,15.282272559999999,11.130079110000000,1.540000000000000,2.110000000000000,"4,534",62.259999999999998,-0.204639000000000,"5,155.987789415129600","728,288.192775893370000"
6,Murrayburn and Wester Hailes North,71.000000000000000,Murrayburn and Wester Hailes North,6,75.620000000000005,640,8.460000000000001,126,1.670000000000000,22,38,0.060000000000000,4.455017301000000,3.368884083000000,19.333910029999998,14.620302770000000,1.960000000000000,2.590000000000000,"3,694",48.850000000000001,0.000000000000000,"5,542.615791839244600","756,197.043592427740000"
7,Parkhead and Sighthill,81.000000000000000,Parkhead and Sighthill,0,41.829999999999998,148,3.540000000000000,11,0.260000000000000,26,22,0.150000000000000,0.218955271000000,0.091588990000000,4.253988114000000,1.779443228000000,0.000000000000000,0.000000000000000,"3,121",74.620000000000005,-0.522260000000000,"3,930.996938232136500","418,276.442379743210000"
8,Broomhouse and Bankhead,11.000000000000000,Broomhouse and Bankhead,3,127.660000000000000,414,3.240000000000000,92,0.720000000000000,21,38,0.090000000000000,2.611865761000000,3.334307831000000,7.655813024000000,9.773410907000001,4.780000000000000,3.750000000000000,"3,555",27.850000000000001,-1.051645000000000,"6,920.945284727004000","1,310,400.618259766400000"
9,Stenhouse and Saughton Mains,93.000000000000000,Stenhouse and Saughton Mains,5,109.420000000000000,988,9.029999999999999,31,0.280000000000000,39,65,0.070000000000000,1.070830342000000,1.171702560000000,19.813352479999999,21.679770280000000,2.220000000000000,2.030000000000000,"5,770",52.729999999999997,-0.000001000000000,"6,595.858348785225600","1,094,212.481083691400000"
10,Longstone and Saughton,59.000000000000000,Longstone and Saughton,3,89.739999999999995,310,3.450000000000000,18,0.200000000000000,31,29,0.090000000000000,2.408407532000000,2.161304919000000,12.027441250000001,10.793425780000000,2.870000000000000,3.200000000000000,"4,596",51.210000000000001,-0.701239000000000,"6,132.998864374756500","897,436.340250447860000"
11,Slateford and Chesser,90.000000000000000,Slateford and Chesser,5,90.290000000000006,696,7.710000000000000,14,0.160000000000000,44,53,0.080000000000000,2.412344248000000,2.178105622000000,14.640683859999999,13.219073460000001,3.380000000000000,3.740000000000000,"4,817",53.350000000000001,-0.000007000000000,"5,605.458778643727800","902,895.682971259000000"
12,Gorgie West,43.000000000000000,Gorgie West,2,65.900000000000006,259,3.930000000000000,29,0.440000000000000,34,46,0.180000000000000,1.002580901000000,0.660700814000000,11.236847330000000,7.405082390000000,0.390000000000000,0.580000000000000,"4,272",64.819999999999993,0.000000000000000,"5,317.485749541311600","659,030.155955047350000"
13,Gorgie East,42.000000000000000,Gorgie East,8,42.299999999999997,438,10.350000000000000,50,1.180000000000000,36,43,0.100000000000000,5.343038563000000,2.260105312000000,17.980486290000002,7.605745702000000,3.890000000000000,9.199999999999999,"3,563",84.230000000000004,0.000000000000000,"4,820.814918977655000","422,998.203493642390000"
14,Shandon,88.000000000000000,Shandon,5,53.539999999999999,175,3.270000000000000,57,1.060000000000000,32,25,0.140000000000000,1.345407503000000,0.720331177000000,22.457956020000001,12.023989650000001,1.040000000000000,1.940000000000000,"5,042",94.170000000000002,-0.038215000000000,"4,902.680033633864700","506,111.298693962740000"
15,Craiglockhart,29.000000000000000,Craiglockhart,7,193.789999999999990,"1,055",5.440000000000000,54,0.280000000000000,40,52,0.050000000000000,5.592335074000000,10.837386140000000,18.267407429999999,35.400408859999999,15.160000000000000,7.820000000000000,"4,843",24.989999999999998,-0.105113000000000,"10,109.339798869385000","1,967,194.578429993000000"
16,Morningside and Craighouse,67.000000000000000,Morningside and Craighouse,10,99.250000000000000,703,7.080000000000000,56,0.560000000000000,47,48,0.070000000000000,10.448454290000001,10.370090879999999,20.213612840000000,20.062010749999999,16.940000000000001,17.070000000000000,"4,347",43.799999999999997,0.000000000000000,"5,608.561850020993000","987,038.360161493770000"
17,Greenbank and The Braids,49.000000000000000,Greenbank and The Braids,8,136.330000000000010,"1,054",7.730000000000000,138,1.010000000000000,39,43,0.040000000000000,3.296019900000000,4.493463930000000,20.976846540000000,28.597734880000001,13.570000000000000,9.949999999999999,"4,291",31.480000000000000,0.000000000000000,"10,550.665124147556000","1,368,707.081403379100000"
18,Colinton Mains and Firrhill,21.000000000000000,Colinton Mains and Firrhill,2,75.379999999999995,368,4.880000000000000,101,1.340000000000000,26,39,0.110000000000000,0.746722237000000,0.562879222000000,9.924459495000001,7.481057567000000,0.450000000000000,0.590000000000000,"3,938",52.240000000000002,0.008982000000000,"6,045.074674575891500","753,841.151347702720000"
19,Oxgangs,80.000000000000000,Oxgangs,2,39.960000000000001,147,3.680000000000000,20,0.500000000000000,33,26,0.180000000000000,1.080904029000000,0.431929250000000,13.707828370000000,5.477648215000000,0.000000000000000,0.010000000000000,"2,639",66.049999999999997,0.000000000000000,"4,413.346196066814600","399,569.259658183380000"
20,Comiston and Swanston,23.000000000000000,Comiston and Swanston,3,144.919999999999990,483,3.330000000000000,49,0.340000000000000,35,41,0.080000000000000,1.355625847000000,1.964572978000000,12.074107550000001,17.497796659999999,6.480000000000000,4.470000000000000,"5,463",37.700000000000003,0.000000000000000,"8,551.266718375683900","1,449,228.159176123800000"
21,Fairmilehead,39.000000000000000,Fairmilehead,6,168.930000000000010,162,0.960000000000000,13,0.080000000000000,29,25,0.150000000000000,0.835014119000000,1.410589351000000,18.733360229999999,31.646265430000000,16.270000000000000,9.630000000000001,"4,925",29.149999999999999,0.000000000000000,"10,215.831119034046000","1,689,288.648954869900000"
22,Gilmerton South and the Murrays,41.000000000000000,Gilmerton South and the Murrays,6,674.980000000000020,88,0.130000000000000,15,0.020000000000000,32,17,0.190000000000000,2.783373761000000,18.787216220000001,19.222546560000001,129.748344800000010,51.159999999999997,7.580000000000000,"2,797",4.140000000000000,1.762099000000000,"21,867.548201628619000","6,749,777.603848303700000"
23,Mortonhall and Anwickhill,68.000000000000000,Mortonhall and Anwickhill,9,99.409999999999997,"1,014",10.199999999999999,55,0.550000000000000,36,58,0.060000000000000,3.898327407000000,3.875327275000000,23.185829049999999,23.049032660000002,14.760000000000000,14.850000000000000,"2,658",26.739999999999998,-0.000004000000000,"5,670.810080203775200","994,131.662086524770000"
24,"Gracemount, Southhouse and Burdiehouse",44.000000000000000,"Gracemount, Southhouse and Burdiehouse",4,110.800000000000000,532,4.800000000000000,170,1.530000000000000,27,56,0.110000000000000,0.844903988000000,0.936153619000000,11.326440180000001,12.549695720000001,3.770000000000000,3.400000000000000,"5,272",47.579999999999998,-0.414025000000000,"7,121.384547316143700","1,108,047.393592071300000"
25,Hyvots and Gilmerton,51.000000000000000,Hyvots and Gilmerton,7,67.469999999999999,223,3.300000000000000,65,0.960000000000000,26,38,0.170000000000000,4.548981571000000,3.069197866000000,14.471387000000000,9.763844811000000,5.390000000000000,7.980000000000000,"3,593",53.250000000000000,-2.273855000000000,"5,614.891412364570000","674,746.392311142990000"
26,Fernieside and Moredun South,40.000000000000000,Fernieside and Moredun South,3,85.680000000000007,142,1.660000000000000,90,1.050000000000000,23,37,0.260000000000000,1.108647450000000,0.949889135000000,9.801972628000000,8.398330147999999,1.230000000000000,1.430000000000000,"4,120",48.090000000000003,0.003232000000000,"7,519.482637276050800","856,792.041959196450000"
27,Moredun and Craigour,65.000000000000000,Moredun and Craigour,2,46.119999999999997,48,1.040000000000000,10,0.220000000000000,25,18,0.380000000000000,1.035901802000000,0.477757911000000,6.626933447000000,3.056341706000000,0.480000000000000,1.040000000000000,"3,168",68.700000000000003,-1.130012000000000,"4,041.235245214907100","461,166.661843285840000"
28,Liberton East,57.000000000000000,Liberton East,6,82.769999999999996,470,5.680000000000000,46,0.560000000000000,38,32,0.070000000000000,5.443899351000000,4.505915493000000,12.802658650000000,10.596760560000000,6.140000000000000,7.420000000000000,"3,274",39.549999999999997,0.000000000000000,"5,806.216853707331200","827,709.264124938870000"
29,Liberton West and Braid Hills,58.000000000000000,Liberton West and Braid Hills,7,413.740000000000010,605,1.460000000000000,27,0.070000000000000,55,45,0.070000000000000,2.755226384000000,11.399473640000000,19.077687569999998,78.932024560000002,39.000000000000000,9.430000000000000,"3,004",7.260000000000000,-0.669021000000000,"13,926.335029087742000","4,137,365.946506605000000"
30,The Inch,97.000000000000000,The Inch,7,85.450000000000003,605,7.080000000000000,30,0.350000000000000,32,48,0.080000000000000,3.961004068000000,3.384677977000000,17.241114610000000,14.732532429999999,9.730000000000000,11.390000000000001,"4,895",57.280000000000001,0.000000000000000,"6,304.541801300901200","853,302.486789689630000"
31,"Blackford, West Mains and Mayfield Road",6.000000000000000,"Blackford, West Mains and Mayfield Road",5,227.470000000000000,649,2.850000000000000,81,0.360000000000000,32,48,0.070000000000000,1.101460946000000,2.505493213000000,16.841136550000002,38.308533300000001,13.580000000000000,5.970000000000000,"6,240",27.430000000000000,0.537118000000000,"9,508.688486486811600","2,274,725.352900967500000"
32,Prestonfield,85.000000000000000,Prestonfield,5,110.410000000000000,128,1.160000000000000,40,0.360000000000000,25,28,0.220000000000000,1.173472412000000,1.295630890000000,19.652699580000000,21.698545610000000,4.860000000000000,4.400000000000000,"3,474",31.460000000000001,-0.000007000000000,"5,547.837490335799900","1,104,125.401840864700000"
33,Newington and Dalkeith Road,75.000000000000000,Newington and Dalkeith Road,7,70.760000000000005,677,9.570000000000000,6,0.080000000000000,44,46,0.070000000000000,2.717943977000000,1.923217158000000,25.154848850000000,17.799571050000001,6.760000000000000,9.550000000000001,"6,070",85.780000000000001,0.000000000000000,"5,936.742679212052300","707,626.360808343510000"
34,The Grange,96.000000000000000,The Grange,3,103.860000000000000,198,1.910000000000000,9,0.090000000000000,46,27,0.140000000000000,0.416246216000000,0.432313320000000,18.163471240000000,18.864581229999999,0.630000000000000,0.610000000000000,"5,608",54.000000000000000,-0.503009000000000,"9,296.623487460394200","1,038,606.299964192800000"
35,Marchmont East and Sciennes,60.000000000000000,Marchmont East and Sciennes,4,37.180000000000000,243,6.540000000000000,39,1.050000000000000,36,38,0.160000000000000,0.440528634000000,0.163788546000000,21.004405290000001,7.809437885000000,0.500000000000000,1.330000000000000,"5,277",141.940000000000000,0.038246000000000,"3,639.850315527679400","371,775.457319499170000"
36,Morningside,66.000000000000000,Morningside,6,126.880000000000000,509,4.010000000000000,46,0.360000000000000,32,46,0.090000000000000,1.113918828000000,1.413340209000000,23.144757880000000,29.366068790000000,6.250000000000000,4.920000000000000,"5,575",43.939999999999998,0.000000000000000,"7,825.289090860312200","1,268,843.443739898500000"
37,Merchiston and Greenhill,64.000000000000000,Merchiston and Greenhill,5,126.910000000000000,196,1.540000000000000,73,0.580000000000000,37,24,0.120000000000000,1.718443596000000,2.180876767000000,20.987718030000000,26.635512949999999,2.700000000000000,2.120000000000000,"5,018",39.539999999999999,0.000000000000000,"9,073.540590062288200","1,269,109.115526496200000"
38,Bruntsfield,14.000000000000000,Bruntsfield,1,37.950000000000003,37,0.980000000000000,7,0.180000000000000,21,15,0.410000000000000,0.189231034000000,0.071813177000000,14.811629110000000,5.621013246000000,0.000000000000000,0.000000000000000,"5,758",151.740000000000010,0.000000000000000,"4,237.584259604256700","379,466.925122366870000"
39,Polwarth,83.000000000000000,Polwarth,6,22.570000000000000,283,12.539999999999999,3,0.130000000000000,33,24,0.080000000000000,4.691572546000000,1.058887924000000,18.795250509999999,4.242088039000000,1.820000000000000,8.080000000000000,"4,468",197.949999999999990,0.000000000000000,"3,395.708017396872000","225,709.295332530190000"
40,Dalry and Fountainbridge,32.000000000000000,Dalry and Fountainbridge,0,53.259999999999998,168,3.150000000000000,27,0.510000000000000,24,24,0.140000000000000,0.564763659000000,0.300793125000000,7.820748926000000,4.165330878000000,0.130000000000000,0.240000000000000,"6,462",121.319999999999990,0.000000000000000,"4,247.144925644850400","532,627.123441742030000"
41,Tollcross,99.000000000000000,Tollcross,1,63.299999999999997,191,3.020000000000000,49,0.770000000000000,31,32,0.170000000000000,0.610071347000000,0.386175163000000,7.765484438000000,4.915551649000000,1.980000000000000,3.120000000000000,"6,233",98.459999999999994,0.000000000000000,"5,898.513581013735300","633,038.752948178560000"
42,Meadows and Southside,63.000000000000000,Meadows and Southside,6,91.920000000000002,"1,141",12.410000000000000,234,2.550000000000000,37,81,0.070000000000000,1.066780457000000,0.980584596000000,15.667448970000001,14.401519100000000,4.860000000000000,5.290000000000000,"6,556",71.319999999999993,-1.825230000000000,"7,123.205258887332100","919,211.836280972700000"
43,"Old Town, Princes Street and Leith Street",79.000000000000000,"Old Town, Princes Street and Leith Street",5,125.110000000000000,970,7.750000000000000,91,0.730000000000000,28,66,0.070000000000000,2.636259023000000,3.298223664000000,9.582592321000000,11.988781250000001,7.800000000000000,6.240000000000000,"5,651",45.170000000000002,0.000000000000000,"7,540.128299988049500","1,251,112.154047631400000"
44,"Canongate, Southside and Dumbiedykes",15.000000000000000,"Canongate, Southside and Dumbiedykes",4,281.290000000000020,259,0.920000000000000,17,0.060000000000000,23,39,0.150000000000000,3.049191766000000,8.577071520000001,12.110710550000000,34.066217700000003,13.609999999999999,4.840000000000000,"5,915",21.030000000000001,-0.030427000000000,"9,388.356085856301400","2,812,932.487933307900000"
45,Abbeyhill,1.000000000000000,Abbeyhill,7,46.159999999999997,113,2.450000000000000,5,0.110000000000000,39,18,0.160000000000000,7.735902522000000,3.570892604000000,13.247378860000000,6.114990082000000,4.150000000000000,8.990000000000000,"2,507",54.310000000000002,0.000000000000000,"3,933.927912721905200","461,640.767206363790000"
